customer_id,customer_name,region,customer_segment,signup_date,total_orders,customer_value
C10264,Customer_265,Hyderabad,Basic,2023-07-20,4,6280.37
C10265,Customer_266,Kolkata,Basic,2023-04-14,14,13392.06
C10266,Customer_267,Kolkata,Basic,2026-08-28,7,18901.81
C10267,Customer_268,Delhi,Premium,2026-01-12,7,23816.58
C10268,Customer_269,Chennai,Standard,2023-01-31,11,12574.83
C10269,Customer_270,Mumbai,Basic,2023-07-11,5,20091.1
C10270,Customer_271,Hyderabad,Standard,2024-04-29,8,10828.24
C10271,Customer_272,Bangalore,Standard,2023-12-07,7,6504.97
C10272,Customer_273,Mumbai,Premium,2025-04-12,3,13719.54
C10273,Customer_274,Chennai,Standard,2025-09-21,7,17432.25
C10274,Customer_275,Pune,Standard,2025-09-12,8,13960.56
C10275,Customer_276,Bangalore,Standard,2024-03-13,6,14201.07
C10276,Customer_277,Pune,Standard,2025-04-01,5,11459.68
C10277,Customer_278,Delhi,Standard,2023-05-01,8,4441.27
C10278,Customer_279,Delhi,Premium,2023-12-04,5,12168.77
C10279,Customer_280,Kolkata,Premium,2025-02-15,9,13151.01
C10280,Customer_281,Pune,Basic,2023-01-05,6,14617.54
C10281,Customer_282,Chennai,Standard,2025-03-10,9,12246.31
C10282,Customer_283,Hyderabad,Premium,2024-06-27,12,6821.87
C10283,Customer_284,Bangalore,Basic,2025-07-20,12,18194.89
C10284,Customer_285,Mumbai,STANDARD,2024-08-07,5,13580.53
C10285,Customer_286,Chennai,Standard,2025-05-16,8,8903.81
C10286,Customer_287,CHENNAI,,2026-02-12,6,17481.76
C10287,Customer_288,Delhi,Basic,2025-09-23,4,6093.72
C10288,Customer_289,Pune,Standard,2023-11-14,6,11004.32
C10289,Customer_290,,Standard,2024-01-24,8,14726.56
C10290,Customer_291,Kolkata,Basic,2024-08-30,5,18180.53
C10291,Customer_292,Bangalore,Standard,2024-03-21,7,10601.39
C10292,Customer_293,DELHI,Standard,2023-04-30,9,13920.33
C10293,Customer_294,Chennai,Premium,2026-04-01,7,11700.33
C10294,Customer_295,Hyderabad,Standard,2026-01-15,12,13548.59
C10295,Customer_296,Delhi,Premium,2023-05-05,10,17688.65
C10296,Customer_297,Bangalore,Standard,2024-10-04,13,2897.97
C10297,Customer_298,Bangalore,Basic,2023-04-28,4,4328.51
C10298,Customer_299,Delhi,Standard,2023-04-13,10,13483.06
C10299,Customer_300,Bangalore,Standard,2026-04-11,8,9791.35
C10300,Customer_301,delhi,Premium,2025-09-03,6,16853.75
C10301,Customer_302,Mumbai,Standard,2025-10-26,6,11311.99
C10302,Customer_303,Delhi,Standard,2025-12-23,12,10278.41
C10303,Customer_304,Pune,Basic,2023-11-19,13,13702.54
C10304,Customer_305,Delhi,Premium,2023-04-27,11,7111.33
C10305,Customer_306,Bangalore,Basic,2025-11-06,11,5191.76
C10306,Customer_307,Pune,Basic,2023-06-14,5,13691.68
C10307,Customer_308,Bangalore,Standard,2024-01-16,8,7226.53
C10308,Customer_309,Kolkata,Basic,2023-05-21,9,7214.49
C10309,Customer_310,Kolkata,Standard,2026-05-03,15,14599.11
C10310,Customer_311,Pune,Standard,2023-05-20,12,18356.47
C10311,Customer_312,Mumbai,Standard,2024-04-26,7,10750.94
C10312,Customer_313,Kolkata,Standard,2025-04-06,9,19247.29
C10313,Customer_314,Delhi,Standard,2023-09-03,7,7659.15
C10314,Customer_315,Bangalore,Standard,2026-03-12,7,14733.06
C10315,Customer_316,Kolkata,Standard,2024-05-19,3,9371.13
C10316,Customer_317,Kolkata,,2026-03-31,9,3598.07
C10317,Customer_318,Mumbai,Premium,2026-05-02,10,9350.99
C10318,Customer_319,Pune,Basic,2023-03-23,10,7183.74
C10319,Customer_320,pune,Basic,2026-06-22,11,14901.61
C10320,Customer_321,Chennai,Standard,2023-06-17,6,12607.96
C10321,Customer_322,Mumbai,Premium,2025-05-08,5,17580.64
C10322,Customer_323,Delhi,Basic,2026-04-10,4,6502.39
C10323,Customer_324,Pune,Basic,2026-03-03,6,15215.81
C10324,Customer_325,,Basic,2025-12-06,11,14215.69
C10325,Customer_326,Mumbai,,2024-10-09,10,9482.28
C10326,Customer_327,Kolkata,Standard,2024-06-18,15,2954.96
C10327,Customer_328,Bangalore,Premium,2024-02-23,9,7785.35
C10328,Customer_329,Bangalore,Premium,2024-10-05,4,11018.74
C10329,Customer_330, Kolkata ,Basic,2024-05-03,11,10658.34
C10330,Customer_331,MUMBAI,Basic,2024-06-27,11,12697.96
C10331,Customer_332,Kolkata,Standard,2025-03-21,9,22385.38
C10332,Customer_333,Chennai,Basic,2023-09-26,11,3970.26
C10333,Customer_334,Bangalore,Standard,2026-08-14,9,7958.16
C10334,Customer_335,Hyderabad,Standard,2024-09-06,4,7082.48
C10335,Customer_336,Hyderabad,Standard,2025-07-25,11,5757.31
C10336,Customer_337,Delhi,Basic,2024-10-09,3,13421.34
C10337,Customer_338,,Premium,2023-05-29,8,11940.18
C10338,Customer_339,Kolkata,Basic,2023-01-20,8,19807.97
C10339,Customer_340,Kolkata,Basic,2025-07-27,4,12231.15
C10340,Customer_341,Delhi,Premium,2026-06-26,3,11246.44
C10341,Customer_342,Delhi,Standard,2026-02-27,4,4562.83
C10342,Customer_343,Delhi,Basic,2023-07-24,6,20226.23
C10343,Customer_344,Bangalore,Standard,2023-05-31,8,7058.46
C10344,Customer_345,Chennai,Basic,2026-01-06,9,9803.77
C10345,Customer_346,Kolkata,Basic,2024-03-12,5,7695.58
C10346,Customer_347,,Standard,2025-11-02,8,11211.4
C10347,Customer_348,Delhi,Standard,2024-06-27,7,10239.43
C10348,Customer_349,Kolkata,Basic,2023-09-29,9,2803.99
C10349,Customer_350,Bangalore,Standard,2024-12-15,6,19293.02
C10350,Customer_351,Chennai,Premium,2023-05-21,5,8921.14
C10351,Customer_352,Bangalore,Premium,2024-05-15,1,7903.46
C10352,Customer_353,Chennai,Standard,2025-01-26,9,13672.23
C10353,Customer_354, ,Basic,2024-08-06,8,9852.37
C10354,Customer_355,Chennai,Basic,2023-11-20,3,13845.26
C10355,Customer_356,Kolkata,Standard,2025-06-16,7,1960.68
C10356,Customer_357,Delhi,Premium,2026-01-17,9,7485.96
C10357,Customer_358,Kolkata,Standard,2024-09-11,6,19242.29
C10358,Customer_359,Hyderabad,Basic,2026-06-06,5,14502.53
C10359,Customer_360,Mumbai,Premium,2025-12-19,5,9179.19
C10360,Customer_361,Chennai,Standard,2023-01-17,9,13140.1
C10361,Customer_362,Mumbai,Premium,2026-02-09,8,15063.17
C10362,Customer_363,Mumbai,Standard,2024-09-05,9,20207.25
C10363,Customer_364,Chennai,Basic,2023-08-01,6,10930.49
C10364,Customer_365,Delhi,Standard,2023-10-03,7,4401.67
C10365,Customer_366,,Standard,2024-06-25,6,10274.06
C10366,Customer_367,Kolkata,Standard,2023-08-25,8,16017.3
C10367,Customer_368,Bangalore,Basic,2023-08-08,10,18214.34
C10368,Customer_369,Kolkata,Premium,2026-02-07,14,11863.05
C10369,Customer_370,Bangalore,Standard,2023-11-15,11,13240.06
C10370,Customer_371,Kolkata,Standard,2024-07-11,15,15441.37
C10371,Customer_372,Chennai,Basic,2024-07-31,6,8173.42
C10372,Customer_373,Hyderabad,,2026-05-23,10,36304.07
C10373,Customer_374,Bangalore,Premium,2024-03-07,4,15967.25
C10374,Customer_375,Pune,Standard,2024-12-03,5,16725.27
C10375,Customer_376,Delhi,Basic,2024-02-21,7,17268.86
C10376,Customer_377,Kolkata,Premium,2026-07-22,11,12259.17
C10377,Customer_378,Kolkata,Basic,2024-06-24,5,11782.61
C10378,Customer_379,Bangalore,Premium,2025-11-01,8,20454.88
C10379,Customer_380,Delhi,Standard,2025-09-27,9,8201.18
C10380,Customer_381,Delhi,Standard,2024-05-29,15,16360.88
C10381,Customer_382,Chennai,Basic,2023-04-15,6,9263.14
C10382,Customer_383,PUNE,Standard,2023-07-09,6,15529.17
C10383,Customer_384,Chennai,Basic,2026-07-23,7,7065.03
C10384,Customer_385,Chennai,Basic,2025-05-17,6,9164.59
C10385,Customer_386,Chennai,Standard,2024-07-20,4,7329.31
C10386,Customer_387,Chennai,Basic,2023-04-01,3,6244.04
C10387,Customer_388,Chennai,Basic,2023-01-08,8,9543.06
C10388,Customer_389,Hyderabad,Premium,2024-11-14,8,3445.93
C10389,Customer_390,Delhi,Standard,2023-09-25,4,8269.62
C10390,Customer_391,Chennai,Basic,2026-07-28,5,18242.39
C10391,Customer_392,Delhi,Premium,2024-06-20,11,9770.63
C10392,Customer_393,Delhi, ,2023-11-27,7,17341.96
C10393,Customer_394,Mumbai,Basic,2025-06-23,10,22037.3
C10394,Customer_395,HYDERABAD,Premium,2026-02-03,9,5433.98
C10395,Customer_396,Chennai,Standard,2025-05-25,8,5530.78
C10396,Customer_397,Kolkata,STANDARD,2026-02-22,8,13649.51
C10397,Customer_398,Bangalore,Standard,2023-01-20,11,13606.71
C10398,Customer_399,Pune,Premium,2023-08-18,12,11180.97
C10399,Customer_400,Kolkata,PREMIUM,2023-06-04,8,18980.23
C10400,Customer_401,Hyderabad,Standard,2023-11-02,8,17965.2
C10401,Customer_402,Bangalore,Basic,2026-01-22,6,7808.58
C10402,Customer_403,Hyderabad,Basic,2023-03-15,13,9063.23
C10403,Customer_404,,Standard,2025-01-26,4,8457.44
C10404,Customer_405,Bangalore,Premium,2026-04-07,12,9118.71
C10405,Customer_406,Delhi,Standard,2026-02-05,4,9706.91
C10406,Customer_407,Kolkata,Standard,2023-10-31,12,6723.46
C10407,Customer_408,Kolkata,basic,2025-05-30,9,22402.2
C10408,Customer_409,Bangalore,Basic,2023-09-19,10,16588.78
C10409,Customer_410,Bangalore,Basic,2023-03-27,10,5569.18
C10410,Customer_411,Chennai,Basic,2024-09-23,8,19989.66
C10411,Customer_412,Hyderabad,Premium,2025-01-16,6,12901.31
C10412,Customer_413,Chennai,Basic,2023-03-23,11,10759.83
C10413,Customer_414,Hyderabad,Standard,2025-01-02,8,8457.72
C10414,Customer_415,Chennai,Basic,2024-03-06,8,11154.7
C10415,Customer_416,Delhi,Standard,2024-05-26,10,20929.64
C10416,Customer_417,bangalore,Basic,2023-07-30,9,9298.4
C10417,Customer_418,Kolkata,Basic,2024-12-25,8,14988.63
