order_id,customer_id,order_date,product_id,quantity,order_value,payment_status,order_status,region
O100203,C10147,2026-03-12,P1477,5,15665.69,Paid,Processing,Delhi
O100204,C10720,2026-08-14,P1243,6,22623.88,Paid,Processing,Hyderabad
O100205,C13618,2026-03-05,P1044,5,23345.12,Paid,Completed,Mumbai
O100206,C10486,2026-07-12,P1214,4,21021.12,Paid,Completed,Chennai
O100207,C13619,2026-01-14,P1355,2,6581.52,Paid,Processing,Mumbai
O100208,C12545,2026-08-16,P1407,6,11992.53,Paid,Processing,Chennai
O100209,C13683,2026-04-17,P1414,5,11004.74,Paid,Completed,Kolkata
O100210,C13259,2026-07-14,P1022,6,11135.53,Paid,Completed,Delhi
O100211,,2026-01-26,P1052,5,1529.68,Failed,Completed,Hyderabad
O100212,C12099,2026-08-17,P1041,4,4588.86,Paid,Completed,Mumbai
O100213,C13303,2026-08-13,P1163,7,4085.53,Paid,Returned,Hyderabad
O100214,C11843,2026-07-24,P1103,2,15546.53,Failed,Completed,Kolkata
O100215,C10176,2026-04-12,P1368,5,10471.42,Paid,Completed,Kolkata
O100216,C12607,2026-04-16,P1161,1,8312.38,Paid,Completed,Mumbai
O100217,C12916,2026-07-14,P1340,5,11264.46,Paid,Processing,Delhi
O100218,C10406,2026-03-05,P1153,4,8308.09,Paid,Completed,Pune
O100219,C13266,2026-02-17,P1326,4,19009.5,Paid,Processing,Pune
O100220,C10300,2026-03-31,P1408,1,4425.94,Paid,Cancelled,Hyderabad
O100221,C11767,2026-03-04,P1002,7,1686.53,Paid,Completed,Delhi
O100222,C11953,2026-03-25,P1372,2,16372.42,Paid,Completed,Pune
O100223,C10147,2026-04-18,P1042,1,5995.31,Paid,Processing,Mumbai
O100224,C10263,2026-03-03,P1465,6,16190.85,Paid,Completed,Kolkata
O100225,C11804,2026-09-08,P1389,5,1745.98,Pending,Processing,Kolkata
O100226,C11246,2026-07-03,P1053,4,6403.3,Failed,Completed,Chennai
O100227,C13266,2026-06-12,P1307,2,4100.93,Paid,Completed,PUNE
O100228,C11656,2026-08-01,P1493,5,7479.63,Paid,Cancelled,Mumbai
O100229,C10422,2026-04-08,P1012,1,8422.72,Paid,Completed,Chennai
O100230,C10632,2026-04-18,P1449,7,12531.36,Paid,Completed, Kolkata 
O100231,C12696,2026-02-16,P1111,6,13147.42,Failed,Completed,BANGALORE
O100232,C13803,2026-07-04,P1055,5,15863.42,Paid,Completed,KOLKATA
O100233,C13481,2026-09-02,P1103,1,8491.81,Paid,Cancelled,Bangalore
O100234,C10518,2026-05-11,P1174,7,13440.92,Paid,Processing,Pune
O100235,C10065,2026-02-27,P1460,3,24755.9,Paid,Processing,Bangalore
O100236,C10105,2026-08-22,P1448,3,5502.79,Paid,Returned,Bangalore
O100237,C12221,2026-01-09,P1321,4,4071.83,Paid,Returned,Chennai
O100238,C11945,2026-01-04,P1067,7,21111.33,,Cancelled,Pune
O100239,C10053,2026-07-14,P1012,7,10436.03,Paid,Completed,Delhi
O100240,C10228,2026-08-04,P1285,2,21218.03,Paid,Completed,Mumbai
O100241,C88888,2026-07-24,P1491,4,10789.82,Paid,Processing,Mumbai
O100242,C13862,2026-02-21,P1331,5,835.62,Paid,Cancelled,Mumbai
O100243,C10507,2026-07-01,P1160,6,9559.36,Paid,Returned,CHENNAI
O100244,C10656,2026-07-04,P1165,3,15370.23,Paid,Completed,Chennai
O100245,C13603,2026-06-08,P1298,4,11354.6,Paid,Processing,Pune
O100246,C12031,2026-02-03,P1367,1,11645.77,Paid,Completed,Bangalore
O100247,C13834,2026-08-11,P1353,2,24958.4,Refunded,Completed,Bangalore
O100248,C12083,2026-06-03,P1258,3,13739.94,Paid,Completed,Bangalore
O100249,C12310,2026-04-28,P1042,2,17514.41,Failed,Completed,Kolkata
O100250,C10881,2026-02-13,P1328,2,18108.03,Pending,Completed,Pune
O100251,C13507,2026-07-19,P1198,3,304.23,Paid,Completed,Chennai
O100252,C13302,2026-08-30,P1131,1,13945.79,Paid,Cancelled,Hyderabad
O100253,C11350,2026-01-09,P1091,7,24087.49,Paid,Returned,Hyderabad
O100254,C12451,2026-05-21,P1489,7,18845.32,Refunded,Completed,Kolkata
O100255,C11366,2026-06-15,P1031,6,8708.56,Paid,Completed,Pune
O100256,C11857,2026-01-24,P1256,1,9304.91,Paid,Completed,Hyderabad
O100257,C13416,2026-03-14,P1396,7,7799.34,Paid,Completed,Hyderabad
O100258,C11663,2026-05-08,P1035,1,15866.14,Paid,Processing, Chennai 
O100259,C13364,2026-04-01,P1281,2,2703.69,Paid,Completed,
O100260,C13843,2026-01-05,P1204,7,7463.01,Paid,Cancelled,Delhi
O100261,C11666,2026-03-07,P1149,1,12605.9,Paid,Completed,Hyderabad
O100262,C13512,2026-03-21,P1343,5,13519.86,Paid,Completed,Kolkata
O100263,C11216,2026-03-13,P1138,6,15302.97,Paid,Processing,Bangalore
O100264,C10011,2026-08-29,P1280,5,19991.46,Refunded,Returned,Delhi
O100265,C10338,2026-01-20,P1334,1,4331.94,Failed,Completed,Hyderabad
O100266,C12950,2026-02-01,P1172,1,5857.88,Pending,Completed,Pune
O100267,C10401,2026-04-18,P1163,3,21846.13,Paid,Completed,Pune
O100268,C13759,2026-05-31,P1101,3,20829.63,Pending,Completed,Kolkata
O100269,C13469,2026-07-10,P1289,4,20592.8,Paid,Completed,Mumbai
O100270,C12061,2026-08-01,P1417,2,5452.81,Paid,Completed,Mumbai
O100271,C12327,2026-03-22,P1287,2,1738.94,Paid,Processing,Chennai
O100272,C12779,2026-08-03,P1101,-2,13228.35,Refunded,Completed,Chennai
O100273,C12928,2026-03-30,P1152,5,21790.06,Paid,Processing,Delhi
O100274,C11966,2026-03-31,P1450,4,6166.67,Paid,Processing,Chennai
O100275,C11254,2026-03-19,P1499,3,22633.75,Paid,Cancelled,Chennai
O100276,C13643,2026-04-03,P1442,6,3795.85,Paid,Completed,Pune
O100277,C10186,2026-07-06,P1120,6,7662.98,Refunded,Completed,Mumbai
O100278,C11425,2026-02-26,P1056,7,7667.72,Paid,Completed,Kolkata
O100279,C12668,2026-03-25,P1106,4,4032.17,Failed,Processing,Chennai
O100280,C13567,2026-01-16,P1238,2,21857.62,Paid,Completed,Mumbai
O100281,C10297,2026-09-12,P1412,6,10490.97,Paid,Completed,
O100282,C12637,2026-04-15,P1020,2,5009.24,Paid,Completed,Hyderabad
O100283,C11949,2026-06-06,P1072,6,3936.93,Paid,Completed,Kolkata
O100284,C12748,2026-07-26,P1340,2,10696.58,Paid,Completed,Kolkata
O100285,C11269,2026-07-11,P1020,5,727.02,Paid,Processing,Kolkata
O100286,C12845,2026-05-16,P1454,3,3290.09,Paid,Processing,Pune
O100287,C10721,2026-06-14,P1430,6,391.34,Failed,Cancelled,Chennai
O100288,C13104,2026-01-15,P1415,6,902.32,Failed,Completed,Chennai
O100289,C12999,2026-01-14,P1405,6,24935.13,Paid,Processing,
O100290,C13790,2026-06-19,P1297,7,11387.56,Paid,Completed,Kolkata
O100291,C10693,2026-01-15,P1010,4,18304.44,Paid,Completed,Hyderabad
O100292,C12890,2026-08-29,P1057,7,18505.89,Paid,Completed,Mumbai
O100293,C11291,2026-01-18,P1353,3,22046.06,Failed,Completed,Mumbai
O100294,C11128,2026-03-15,P1461,2,2862.52,Paid,Completed,Mumbai
O100295,C11607,2026-07-28,P1239,2,13284.11,Paid,Processing,Kolkata
O100296,C11141,2026-01-24,P1296,3,8246.47,Paid,Completed,Kolkata
O100297,C10993,2026-07-13,P1085,1,13847.51,Pending,Completed,Pune
O100298,C13076,2026-03-28,P1408,1,8503.35,Paid,Completed,Pune
O100299,C12800,2026-03-22,P1143,3,4836.35,Pending,Processing,Delhi
O100300,C10437,2026-02-21,P1224,2,16918.83,Paid,Completed,Pune
O100301,C12242,2026-01-08,P1193,6,1249.19,Paid,Completed,Chennai
O100302,C11325,2026-06-28,P1102,4,22416.02,Paid,Completed,Delhi
O100303,C13887,2026-04-25,P1363,1,3912.76,Pending,Completed,Delhi
O100304,C11701,2026-02-17,P1497,6,15494.06,Paid,Completed,Bangalore
O100305,C10162,2026-08-03,P1325,7,18928.86,Paid,Completed,Delhi
O100306,C11327,2026-02-03,P1161,6,2101.31,Paid,Completed,Pune
O100307,C11251,2026-02-27,P1301,6,22611.38,Paid,Cancelled,
O100308,C10022,2026-09-01,P1047,3,9097.58,Pending,Cancelled,Kolkata
O100309,C11952,2026-08-26,P1233,5,24919.14,Paid,Completed,Chennai
O100310,C13626,2026-08-01,P1292,3,1998.91,Paid,Processing,Bangalore
O100311,C13211,2026-08-14,P1021,2,18004.3,Paid,Processing,Hyderabad
O100312,C12740,2026-03-10,P1335,7,4269.65,Paid,Completed,Mumbai
O100313,C11375,2026-01-01,P1134,3,10246.51,Paid,Completed,Pune
O100314,C10928,2026-06-09,P1174,1,11247.35,Paid,Completed,Delhi
O100315,C11371,2026-09-01,P1332,1,10332.02,Paid,Processing, Delhi 
O100316,C10492,2026-08-29,P1368,6,8638.05,Paid,Processing,Pune
O100317,C10398,2026-05-12,P1497,3,19250.08,Paid,Completed,Kolkata
O100318,C12299,2026-03-07,P1241,6,20551.27,Pending,Processing,Hyderabad
O100319,C13258,2026-06-15,P1016,4,8589.67,Paid,Completed,Hyderabad
O100320,C10397,2026-07-07,P1258,3,12221.33,Pending,Processing,Chennai
O100321,C11341,2026-02-19,P1395,4,10717.42,Paid,Completed,
O100322,C10491,2026-09-02,P1197,7,14959.87,Pending,Completed,Chennai
O100323,C11242,2026-09-10,P1075,1,4011.57,Paid,Processing,Chennai
O100324,C13323,2026-04-11,P1202,7,20200.42,Paid,Returned, Delhi 
O100325,C10139,2026-03-06,P1232,5,19986.21,Paid,Completed,Delhi
O100326,C12590,2026-04-23,P1274,4,14883.21,Paid,Completed,Hyderabad
O100327,C10239,2026-03-08,P1158,3,18729.76,Paid,Completed,Pune
O100328,C11707,2026-03-15,P1114,2,24716.08,Paid,Completed,Hyderabad
O100329,C11897,2026-04-26,P1257,2,23085.95,Paid,Processing,Mumbai
O100330,C11607,2026-02-12,P1236,3,15402.79,Paid,Completed, 
O100331,C12551,2026-02-18,P1095,1,12931.62,Paid,Completed,Delhi
O100332,C13897,2026-07-26,P1127,1,13502.82,Paid,Completed,pune
O100333,C11070,2026-05-25,P1273,1,11825.38,Paid,Completed,Pune
O100334,C12441,2026-02-23,P1310,3,12161.58,Refunded,Cancelled,Hyderabad
O100335,C11421,2026-05-08,P1259,2,18381.31,Pending,Completed,Chennai
O100336,C99999,2026-04-26,P1405,5,24805.4,Paid,Completed,
O100337,C13807,2026-05-09,P1375,2,1419.26,Paid,Completed,Kolkata
O100338,C10373,2026-04-05,P1333,1,5985.65,Paid,Completed,Hyderabad
O100339,C13897,2026-06-04,P1077,3,5492.13,Paid,Completed,Delhi
O100340,C12955,2026-06-18,P1484,3,20871.55,Paid,Cancelled,Mumbai
O100341,C13972,2026-08-25,P1348,5,10667.18,Paid,Processing,Delhi
O100342,C13086,2026-05-17,P1498,2,13270.77,Paid,Cancelled,Bangalore
O100343,C10516,2026-03-09,P1289,1,11888.06,Failed,Completed,Pune
O100344,C13004,2026-06-17,P1175,-4,21385.93,Paid,Completed,Pune
O100345,C12908,2026-08-05,P1126,1,12643.08,Paid,Completed,Chennai
O100346,C10667,2026-07-11,P1197,2,16795.8,Paid,Completed,Delhi
O100347,C13015,2026-03-16,P1362,5,781.24,Refunded,Processing,Delhi
O100348,C12701,2026-01-18,P1203,1,16415.62,Paid,Completed, 
O100349,C13980,2026-07-17,P1407,4,6251.51,Paid,Completed,Pune
O100350,C12476,2026-01-25,P1044,3,21711.65,Pending,Completed,Hyderabad
O100351,C11659,2026-04-12,P1378,2,18863.39,Pending,Completed,Kolkata
