product_id,warehouse_id,stock_available,reorder_level,daily_demand,last_restock_date,supplier
P1485,W106,6,136,128.38,2026-01-31,Supplier_C
P1021,W101,154,52,136.39,2026-04-09,Supplier_B
P1103,W102,698,147,46.52,2026-05-09,Supplier_A
P1126,W108,495,168,12.76,2026-02-08,
P1282,W102,446,253,8.34,2026-07-04,Supplier_D
P1362,W110,61,212,46.47,2026-06-05,Supplier_A
P1239,W119,97,211,34.28,2026-03-12,Supplier_D
P1355,W115,287,249,50.17,2026-04-07,Supplier_A
P1322,W111,364,159,62.67,2026-05-25,
P1212,W119,671,245,136.47,2026-05-26, 
P1162,W116,552,298,77.67,2026-03-19,Supplier_C
P1245,W105,423,253,106.32,2026-05-07,Supplier_A
P1370,W115,899,185,118.02,2026-06-30,Supplier_B
P1022,W118,996,270,107.95,2026-03-11,Supplier_D
P1389,W109,511,116,67.64,2026-08-15,Supplier_B
P1260,W115,174,146,122.16,2026-02-01,Supplier_C
P1409,W117,953,188,73.59,2026-08-03,Supplier_D
P1204,W103,145,236,145.39,2026-01-06,Supplier_C
P1002,W114,960,112,136.19,2026-08-17,Supplier_D
P1374,W104,854,275,42.24,2026-09-04,supplier_c
P1046,W109,660,157,13.98,2026-02-08,Supplier_B
P1418,W109,144,145,98.41,2026-05-21,Supplier_A
P1320,W115,8,263,29.74,2026-09-03,Supplier_B
P1258,W115,902,62,101.0,2026-07-22,Supplier_C
P1247,W112,151,136,5.85,2026-05-30,Supplier_B
P1062,W111,69,169,84.07,2026-03-15,
P1028,W116,16,54,40.38,2026-04-29,Supplier_A
P1351,W102,728,57,108.59,2026-07-22,Supplier_A
P1217,W100,538,183,27.25,2026-02-24,Supplier_A
P1237,W106,838,112,57.41,2026-09-10,Supplier_C
P1003,W103,68,53,100.82,2026-01-24,Supplier_C
P1221,W109,617,77,50.18,2026-05-01,Supplier_A
P1272,W117,630,67,50.17,2026-03-09,Supplier_A
P1330,W108,927,228,65.45,2026-06-09,Supplier_A
P1080,W118,14,297,9.59,2026-03-30,Supplier_D
P1061,W102,317,202,40.85,2026-04-04,Supplier_A
P1491,W113,455,92,94.75,2026-04-27,Supplier_C
P1145,W119,376,158,125.68,2026-05-25,Supplier_A
P1348,W104,25,275,99.93,2026-02-05,Supplier_A
P1450,W113,739,155,74.64,2026-08-24,Supplier_C
P1348,W116,372,221,91.48,2026-08-23, 
P1290,W119,614,99,25.47,2026-03-19,
P1047,W100,124,78,23.62,2026-02-10,Supplier_D
P1182,W109,162,255,85.85,2026-02-23,Supplier_C
P1243,W118,309,292,36.99,2026-08-23,Supplier_A
P1092,W100,622,270,1.18,2026-01-31,Supplier_A
P1291,W101,897,267,149.73,2026-01-19,Supplier_D
P1399,W112,673,120,9.94,2026-07-06,supplier_c
P1393,W104,814,71,57.6,2026-03-25,Supplier_C
P1171,W107,363,117,27.82,2026-05-28,Supplier_C
P1256,W107,876,100,81.47,2026-06-10,Supplier_A
P1186,W118,830,224,60.06,2026-07-21,Supplier_B
P1187,W115,901,170,123.34,2026-01-07,Supplier_D
P1301,W118,70,111,55.2,2026-01-13,Supplier_A
P1374,W106,248,209,112.31,2026-02-18,Supplier_D
P1000,W113,813,171,96.74,2026-03-23,Supplier_D
P1014,W119,23,298,121.01,2026-08-30,Supplier_A
P1329,W116,395,62,46.69,2026-03-03,Supplier_A
P1475,W114,418,77,111.85,2026-09-04,Supplier_B
P1362,W112,280,236,128.13,2026-03-29,Supplier_B
P1316,W116,436,114,98.23,2026-01-20,Supplier_B
P1061,W103,742,268,141.55,2026-05-28,Supplier_D
P1336,W113,823,143,8.76,2026-01-09,Supplier_D
P1215,W117,377,170,70.71,2026-03-22,Supplier_A
P1344,W115,943,210,11.11,2026-08-16,Supplier_B
P1315,W106,958,205,96.9,2026-01-18,Supplier_D
P1169,W114,120,158,60.2,2026-05-19,Supplier_B
P1244,W118,708,111,53.54,2026-04-11,Supplier_A
P1356,W107,293,126,133.36,2026-02-16,Supplier_D
P1164,W101,504,238,109.58,2026-06-29,Supplier_B
P1362,W112,820,136,133.89,2026-03-29,Supplier_B
P1032,W114,471,127,38.69,2026-03-01,Supplier_B
P1174,W116,491,204,70.1,2026-02-17,Supplier_C
P1219,W103,905,248,145.48,2026-09-08,Supplier_D
P1305,W111,120,176,144.13,2026-03-04,Supplier_C
P1396,W100,826,165,48.37,2026-08-30,Supplier_A
P1413,W101,887,157,47.78,2026-08-02,Supplier_B
P1351,W108,866,154,59.94,2026-04-04,Supplier_D
P1499,W110,891,285,105.46,2026-06-26,Supplier_D
P1366,W103,770,288,110.75,2026-07-25,Supplier_A
P1005,W116,571,251,47.2,2026-02-16,Supplier_D
P1018,W107,69,92,52.31,2026-07-08,Supplier_D
P1223,W118,783,250,74.02,2026-07-28,Supplier_B
P1185,W104,583,118,56.18,2026-05-04,Supplier_A
P1376,W105,968,217,136.27,2026-08-05,Supplier_D
P1304,W106,475,200,136.1,2026-07-24,Supplier_B
P1148,W118,865,238,16.09,2026-05-20,Supplier_C
P1453,W104,204,266,121.99,2026-07-17,Supplier_A
P1238,W108,302,131,62.7,2026-06-23,Supplier_C
P1043,W107,159,55,132.49,2026-01-10,Supplier_C
P1165,W102,26,165,55.38,2026-05-26,Supplier_C
P1255,W117,98,139,43.64,2026-06-15,Supplier_C
P1178,W104,566,129,28.21,2026-07-12,Supplier_C
P1491,W108,248,50,132.19,2026-07-18,Supplier_B
P1385,W108,235,136,138.75,2026-01-03,Supplier_D
P1003,W107,350,202,26.63,2026-08-01,Supplier_A
P1125,W116,193,144,8.16,2026-03-23,Supplier_A
P1048,W109,693,237,136.75,2026-06-29,Supplier_D
P1108,W105,27,198,32.04,2026-04-27,Supplier_D
P1173,W101,464,144,105.33,2026-07-17,Supplier_A
P1434,W106,927,183,129.75,2026-09-07,Supplier_C
P1082,W116,158,186,123.11,2026-06-08,Supplier_A
P1062,W110,357,119,16.75,2026-03-29,Supplier_D
P1361,W104,226,98,56.78,2026-02-04,Supplier_B
P1253,W109,585,279,63.04,2026-08-29,Supplier_D
P1460,W106,732,100,24.75,2026-02-09,Supplier_A
P1004,W110,812,191,50.12,2026-02-07,
P1365,W103,871,246,43.73,2026-04-14,Supplier_C
P1332,W105,851,147,100.25,2026-07-30,Supplier_C
P1084,W110,351,104,135.2,2026-04-30,Supplier_D
P1231,W114,853,258,145.86,2026-06-29,Supplier_A
P1200,W109,19,141,107.74,2026-05-28,Supplier_A
P1285,W106,455,171,1.57,2026-04-08,Supplier_C
P1389,W114,693,269,128.18,2026-03-02,Supplier_D
P1123,W109,775,291,142.87,2026-04-30,Supplier_C
P1123,W115,767,146,41.0,2026-05-05, Supplier_C 
P1082,W102,308,196,140.58,2026-03-02,Supplier_A
P1137,W103,310,153,144.96,2026-02-17,Supplier_D
P1028,W112,480,69,94.8,2026-03-14,Supplier_D
P1421,W111,649,230,69.26,2026-09-08,Supplier_D
P1425,W105,699,273,104.24,2026-01-27,Supplier_D
P1485,W100,758,86,97.38,2026-08-12,Supplier_A
P1315,W107,856,84,23.13,2026-05-27,Supplier_A
P1402,W110,607,179,10.79,2026-06-13,Supplier_B
P1498,W106,632,299,142.47,2026-06-08,Supplier_D
P1028,W119,434,68,5.88,2026-09-03,Supplier_C
P1180,W118,840,82,119.05,2026-04-15,Supplier_C
P1404,W107,638,78,55.27,2026-01-11,Supplier_C
P1243,W104,680,75,132.1,2026-05-23,Supplier_B
P1351,W113,575,281,71.69,2026-08-31,Supplier_D
P1203,W103,254,276,71.77,2026-02-15,Supplier_C
P1388,W104,680,117,69.61,2026-01-10,Supplier_B
P1160,W118,575,112,102.49,2026-05-03, Supplier_A 
P1316,W110,153,110,113.91,2026-01-21,Supplier_D
P1213,W113,585,178,142.53,2026-04-18,Supplier_B
P1044,W110,532,54,60.65,2026-04-26,Supplier_D
P1179,W114,724,76,46.21,2026-09-01,Supplier_B
P1253,W115,836,79,20.64,2026-03-01,Supplier_C
P1413,W114,583,172,103.09,2026-07-27,Supplier_C
P1369,W102,250,147,59.82,2026-02-06,Supplier_B
P1441,W105,243,146,46.03,2026-06-21,Supplier_D
P1345,W107,324,283,18.89,2026-01-01,Supplier_C
P1143,W104,536,154,128.28,2026-03-24, 
P1061,W108,813,60,135.49,2026-08-25,Supplier_D
P1094,W102,905,110,64.02,2026-07-24,Supplier_B
P1241,W110,308,160,60.52,2026-08-13,Supplier_A
P1181,W105,894,244,50.93,2026-01-27,Supplier_A
P1245,W101,313,280,86.46,2026-08-08,Supplier_A
P1238,W113,865,191,134.11,2026-05-12,Supplier_D
P1301,W101,873,171,75.3,2026-05-25,Supplier_B
P1373,W116,26,136,15.97,2026-01-04,Supplier_A
P1019,W105,871,237,10.9,2026-04-18,Supplier_D
P1087,W112,104,257,20.79,2026-01-16,Supplier_D
P1240,W108,452,271,77.5,2026-06-13,Supplier_B
P1338,W110,870,71,114.39,2026-09-04,Supplier_C
P1441,W110,525,182,84.21,2026-08-14,Supplier_A
P1126,W104,585,148,119.17,2026-08-06,Supplier_A
P1482,W102,428,117,2.46,2026-02-14,Supplier_B
P1479,W102,125,177,149.02,2026-05-29,Supplier_A
P1223,W106,295,67,29.54,2026-01-07, 
P1428,W110,613,115,75.27,2026-07-16,Supplier_A
P1027,W108,574,133,19.52,2026-03-20,Supplier_A
P1015,W108,330,269,98.64,2026-07-20,Supplier_D
P1404,W107,872,205,22.98,2026-01-12,Supplier_C
P1259,W106,537,235,26.17,2026-01-23,Supplier_B
P1245,W116,153,292,75.68,2026-06-26,Supplier_D
P1145,W110,509,286,13.42,2026-05-26,Supplier_A
P1066,W104,35,292,8.0,2026-03-21,Supplier_D
P1495,W103,828,289,89.08,2026-08-01,Supplier_C
P1219,W100,191,268,3.6,2026-04-21,Supplier_B
P1486,W110,141,158,10.93,2026-06-27,Supplier_D
P1220,W112,158,68,138.46,2026-09-08,
P1144,W110,262,111,119.21,2026-05-24,Supplier_B
P1241,W108,42,173,86.03,2026-01-20,Supplier_A
P1084,W112,1,83,44.26,2026-09-15,Supplier_D
P1247,W115,559,111,140.8,2026-06-22,Supplier_B
P1154,W109,340,277,85.65,2026-02-24,Supplier_A
P1105,W110,142,150,45.95,2026-08-15,Supplier_C
P1090,W115,996,122,77.19,2026-06-07,Supplier_A
P1022,W103,606,143,134.87,2026-05-16,Supplier_A
P1025,W113,487,287,51.68,2026-06-02, 
P1299,W103,812,202,48.69,2026-05-29,Supplier_D
P1092,W108,920,113,122.37,2026-02-08,Supplier_A
P1323,W117,296,159,93.06,2026-05-05,Supplier_D
P1494,W100,919,234,120.86,2026-03-08,Supplier_C
P1178,W118,249,247,67.38,2026-06-11,Supplier_C
P1191,W101,749,211,36.24,2026-04-03,Supplier_C
P1330,W116,693,117,87.31,2026-05-06,Supplier_A
P1387,W110,434,63,81.16,2026-06-29,Supplier_B
P1174,W110,430,187,22.54,2026-06-25,SUPPLIER_A
P1429,W117,562,57,11.22,2026-03-16,Supplier_B
P1443,W111,794,91,138.79,2026-07-20,
P1157,W118,863,253,56.6,2026-04-27,
P1280,W116,696,296,81.48,2026-08-24,Supplier_B
P1091,W115,680,183,32.64,2026-04-16,Supplier_C
P1134,W104,965,252,57.35,2026-05-06,Supplier_D
P1188,W106,35,171,23.38,2026-01-31,Supplier_C
P1114,W111,558,96,53.91,2026-07-16,Supplier_B
P1258,W108,204,170,36.13,2026-02-21,Supplier_C
P1280,W115,7,266,14.29,2026-09-11,Supplier_C
P1151,W106,159,185,124.76,2026-09-03,Supplier_D
P1430,W104,726,112,91.74,2026-01-23,
P1155,W112,873,267,81.89,2026-05-25,Supplier_B
P1390,W119,436,294,103.83,2026-04-17,Supplier_B
P1137,W118,417,192,113.11,2026-02-14,Supplier_C
P1168,W111,694,54,4.82,2026-01-28,Supplier_D
P1388,W103,48,182,108.42,2026-01-06,Supplier_C
P1144,W118,269,130,130.13,2026-07-23,Supplier_D
P1052,W116,622,116,24.53,2026-04-21,Supplier_D
P1117,W109,125,134,135.42,2026-02-25,Supplier_C
P1129,W100,214,246,70.82,2026-01-02,Supplier_A
P1205,W103,71,262,27.49,2026-06-11,Supplier_D
P1244,W113,714,53,69.92,2026-06-30,Supplier_B
P1446,W117,3,199,17.45,2026-01-15,Supplier_A
P1029,W107,385,87,56.21,2026-08-25,Supplier_A
P1278,W101,249,208,75.97,2026-07-26,Supplier_B
P1131,W105,821,106,74.6,2026-03-05,Supplier_A
P1161,W105,379,216,16.13,2026-05-11,Supplier_C
P1420,W116,515,143,33.9,2026-01-03,SUPPLIER_B
P1097,W104,607,198,50.73,2026-05-15,Supplier_A
P1394,W104,884,253,136.58,2026-08-08,Supplier_A
P1207,W119,155,103,93.58,2026-08-28,Supplier_D
P1474,W108,487,233,7.24,2026-02-27,Supplier_C
P1125,W104,420,199,128.58,2026-08-11,Supplier_C
P1054,W116,568,218,95.46,2026-01-31,Supplier_C
P1188,W112,107,83,54.66,2026-09-04,Supplier_B
P1427,W118,277,178,28.88,2026-05-04,Supplier_A
P1089,W107,293,81,52.67,2026-04-26,Supplier_D
P1007,W112,149,118,21.77,2026-03-16,Supplier_A
P1334,W107,278,246,145.53,2026-02-24,Supplier_C
P1309,W103,332,193,88.84,2026-01-30,Supplier_C
P1488,W103,671,145,108.14,2026-04-04,Supplier_C
P1064,W111,894,236,113.62,2026-01-28,Supplier_D
P1291,W104,711,77,121.79,2026-01-24,Supplier_B
P1228,W115,456,292,115.93,2026-02-25,Supplier_A
P1475,W115,26,287,74.56,2026-03-01, Supplier_A 
P1325,W105,566,296,81.5,2026-05-23,Supplier_A
P1029,W105,331,198,66.79,2026-03-12,Supplier_B
P1432,W103,34,146,82.32,2026-03-01,Supplier_B
P1391,W119,207,165,53.72,2026-07-15,Supplier_A
P1188,W109,729,210,80.83,2026-06-28,Supplier_C
P1449,W117,681,163,102.26,2026-01-12,Supplier_C
P1125,W103,882,115,79.78,2026-05-24,Supplier_A
P1345,W101,18,249,142.94,2026-08-25,Supplier_A
P1428,W110,747,53,4.02,2026-04-09,Supplier_B
P1224,W114,237,276,126.49,2026-04-23,Supplier_D
P1304,W118,836,173,48.31,2026-07-17,Supplier_C
P1305,W111,97,75,43.2,2026-05-12,Supplier_D
P1364,W114,897,297,85.88,2026-07-20,Supplier_A
P1463,W119,369,200,23.02,2026-01-06,Supplier_D
P1482,W118,358,284,97.77,2026-08-04,Supplier_D
P1497,W114,121,126,19.22,2026-02-27,Supplier_D
P1388,W104,80,283,130.83,2026-01-08,Supplier_B
P1382,W100,710,187,125.8,2026-08-07,Supplier_D
P1216,W107,418,53,89.99,2026-01-19,
P1349,W101,549,296,18.26,2026-04-24,Supplier_A
P1225,W116,9,108,54.23,2026-04-30,Supplier_C
P1491,W107,275,292,119.64,2026-03-21,Supplier_D
P1347,W117,76,50,138.1,2026-03-17,Supplier_A
P1217,W105,979,142,139.52,2026-04-18,Supplier_B
P1437,W118,264,131,100.58,2026-03-26,Supplier_B
P1478,W109,586,75,110.95,2026-04-04,Supplier_D
P1236,W107,354,136,78.32,2026-05-03, Supplier_B 
P1104,W111,778,271,84.47,2026-07-11,Supplier_C
P1227,W115,750,239,106.96,2026-04-19,Supplier_C
P1020,W118,39,224,97.68,2026-08-23,Supplier_A
P1441,W103,388,200,56.81,2026-06-12,Supplier_B
P1153,W118,576,107,111.61,2026-06-16,Supplier_A
P1391,W118,238,127,8.64,2026-09-12,Supplier_A
P1437,W111,144,158,141.01,2026-03-11,Supplier_B
P1335,W118,84,286,136.61,2026-08-27, 
P1164,W115,988,216,77.42,2026-01-20,Supplier_D
P1416,W115,147,207,84.79,2026-06-20,Supplier_A
P1039,W105,230,230,9.57,2026-03-09,Supplier_B
P1017,W112,425,281,133.86,2026-06-12,Supplier_A
P1037,W112,568,166,64.22,2026-01-15,Supplier_D
P1105,W104,156,173,93.16,2026-02-03,Supplier_B
P1216,W113,359,122,30.94,2026-08-16,Supplier_D
P1133,W106,267,229,2.34,2026-03-19,Supplier_B
P1180,W103,701,67,145.87,2026-01-24,Supplier_C
P1085,W104,192,170,117.07,2026-07-29,
P1478,W109,346,63,85.07,2026-07-25,Supplier_A
P1169,W117,916,211,66.1,2026-07-04,Supplier_D
P1196,W109,598,242,112.36,2026-08-14,Supplier_B
P1020,W111,764,137,70.59,2026-09-12,Supplier_B
P1073,W100,124,263,123.39,2026-07-27,Supplier_B
P1214,W113,841,133,19.33,2026-09-07,
P1100,W109,650,257,3.69,2026-08-27,Supplier_D
P1277,W107,996,111,27.63,2026-08-30,Supplier_A
P1119,W112,171,167,56.12,2026-03-04,Supplier_C
P1276,W103,832,272,149.51,2026-04-08,Supplier_A
P1006,W111,777,212,4.51,2026-01-06,Supplier_A
P1384,W110,926,168,133.52,2026-05-11,Supplier_C
P1264,W115,395,74,43.46,2026-09-15,Supplier_A
P1088,W105,975,75,132.86,2026-04-18,supplier_a
P1037,W111,539,271,23.78,2026-09-12,Supplier_C
P1005,W115,610,256,117.4,2026-03-09,Supplier_C
P1079,W105,173,148,144.22,2026-01-01,Supplier_C
P1178,W107,873,110,8.38,2026-01-21,Supplier_D
P1171,W114,11,90,81.07,2026-07-20,Supplier_A
P1207,W101,83,169,73.83,2026-08-06,Supplier_B
P1200,W117,903,205,90.4,2026-04-19,Supplier_A
P1326,W111,300,255,121.24,2026-03-08,Supplier_B
P1047,W118,300,92,45.75,2026-06-21,Supplier_B
P1351,W118,985,210,15.06,2026-08-07,Supplier_C
P1077,W113,21,241,77.38,2026-07-12,Supplier_A
P1499,W110,887,160,59.26,2026-07-01,Supplier_A
P1427,W110,707,236,123.32,2026-08-13,Supplier_D
P1272,W113,3,278,124.84,2026-06-08,Supplier_C
P1452,W103,854,118,38.29,2026-09-14,Supplier_D
P1202,W115,933,141,124.54,2026-05-05,Supplier_A
P1324,W114,674,246,85.48,2026-07-25,Supplier_A
P1477,W105,246,278,103.78,2026-08-27,Supplier_D
P1415,W114,558,168,97.98,2026-01-10,Supplier_C
P1429,W116,692,213,32.07,2026-08-09,Supplier_C
P1216,W116,23,193,48.78,2026-02-03,
P1467,W119,232,188,67.78,2026-09-11,Supplier_C
P1459,W119,520,192,51.36,2026-07-03,Supplier_B
P1418,W119,772,132,97.65,2026-01-05,Supplier_A
P1325,W118,979,103,55.44,2026-01-02,Supplier_C
P1262,W115,815,272,7.75,2026-04-22,Supplier_A
P1276,W101,228,210,73.95,2026-02-09,Supplier_A
P1217,W105,398,138,126.02,2026-06-02,Supplier_A
P1102,W114,710,249,60.12,2026-01-29,Supplier_D
P1022,W116,578,298,42.26,2026-05-12,Supplier_A
P1160,W118,520,165,27.85,2026-04-15,
P1350,W116,310,52,25.55,2026-01-02,Supplier_A
P1139,W103,30,206,27.27,2026-02-15,Supplier_A
P1037,W106,751,173,147.44,2026-07-01,Supplier_D
P1133,W117,732,281,125.8,2026-04-15,Supplier_B
P1459,W115,984,259,2.07,2026-02-05,Supplier_C
P1454,W108,705,210,128.05,2026-06-30,Supplier_B
P1084,W104,697,216,109.47,2026-01-04,Supplier_A
P1380,W111,89,57,3.91,2026-01-06,Supplier_B
P1294,W109,315,156,61.42,2026-07-04,Supplier_C
P1397,W118,334,217,23.95,2026-04-18,Supplier_B
P1344,W117,896,125,70.23,2026-07-09,Supplier_A
P1181,W106,357,135,47.57,2026-04-08,Supplier_C
P1047,W102,120,246,31.93,2026-06-04,Supplier_C
P1438,W119,260,68,94.65,2026-06-14,Supplier_D
P1150,W104,441,140,18.04,2026-05-31,Supplier_D
P1214,W106,361,257,149.37,2026-04-05,Supplier_A
P1384,W107,324,207,124.26,2026-06-19,Supplier_C
P1215,W119,968,57,19.36,2026-06-18,Supplier_B
P1089,W106,634,93,40.04,2026-07-23,Supplier_B
P1061,W119,814,134,68.76,2026-02-05,Supplier_B
P1439,W114,597,51,128.32,2026-05-22,Supplier_D
P1374,W118,665,158,7.71,2026-02-02,Supplier_D
P1420,W109,777,117,103.37,2026-08-15,Supplier_C
P1322,W102,575,75,100.64,2026-06-04,Supplier_C
P1386,W113,275,270,22.71,2026-04-22,Supplier_C
P1142,W112,419,142,140.55,2026-08-20,Supplier_D
P1143,W105,766,93,52.5,2026-07-19,Supplier_A
P1483,W109,594,192,56.94,2026-01-15,Supplier_B
P1047,W119,568,81,40.71,2026-02-20,Supplier_D
P1210,W111,397,202,46.03,2026-04-12,Supplier_A
P1353,W102,934,221,97.85,2026-04-06,Supplier_D
P1049,W102,679,114,55.34,2026-07-03,Supplier_C
P1090,W112,507,130,52.61,2026-09-02,Supplier_C
P1146,W119,443,150,114.63,2026-03-02,Supplier_D
P1104,W117,121,66,56.37,2026-07-16,Supplier_C
P1275,W110,178,61,92.23,2026-07-01,Supplier_D
P1032,W111,202,63,22.16,2026-04-29,Supplier_C
P1265,W104,531,185,118.03,2026-07-07,Supplier_A
P1443,W115,747,140,33.97,2026-03-18,Supplier_D
P1454,W113,533,214,22.6,2026-05-14, Supplier_B 
P1329,W114,335,64,128.62,2026-07-28,Supplier_A
P1231,W103,713,227,94.11,2026-04-08,Supplier_A
P1162,W117,9,103,82.84,2026-08-07,Supplier_C
P1128,W103,86,152,125.68,2026-01-27, Supplier_D 
P1251,W116,430,284,5.14,2026-05-14,Supplier_A
P1078,W115,401,155,123.8,2026-04-05,Supplier_B
P1433,W101,32,284,64.34,2026-06-17,Supplier_B
P1106,W119,204,89,39.25,2026-01-11,Supplier_C
P1069,W117,9,54,27.31,2026-05-13,Supplier_B
P1259,W110,712,169,6.6,2026-01-04,Supplier_B
P1339,W119,312,217,49.88,2026-02-05,Supplier_D
P1058,W108,902,299,103.85,2026-05-04,Supplier_A
P1323,W119,731,132,84.53,2026-06-10,Supplier_B
P1469,W119,923,293,111.72,2026-02-10,Supplier_D
P1430,W108,969,109,42.8,2026-05-29,Supplier_C
P1331,W103,895,248,137.26,2026-05-01,Supplier_C
P1230,W103,29,272,122.99,2026-04-06,Supplier_B
P1305,W112,563,166,111.15,2026-05-24,Supplier_B
P1339,W105,276,113,85.98,2026-06-07,Supplier_D
P1400,W104,883,262,84.44,2026-07-05,Supplier_A
P1451,W104,685,195,123.26,2026-09-12,Supplier_D
P1485,W112,586,111,101.0,2026-06-09,Supplier_B
P1471,W118,799,169,25.38,2026-04-30,Supplier_C
P1181,W107,28,82,90.03,2026-06-09,Supplier_B
