order_id,order_date,customer_id,customer_name,customer_segment,customer_region,product_id,quantity,order_value,payment_status,order_status,delivery_status,carrier,delivery_cost,expected_date,actual_date,delivery_delay_days,ticket_category,priority,sentiment,stock_available,reorder_level,daily_demand,supplier
O100036,2026-03-16,C11688,Customer_1689,Basic,Bangalore,P1271,3,7566.42,Failed,Processing,NULL,NULL,NULL,NULL,NULL,NULL,Payment,Medium,Neutral,348,55,105.95,Supplier_D
O100037,2026-06-06,C11221,Customer_1222,Standard,chennai,P1479,3,1004.88,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,206,271,64.21,Supplier_D
O100038,2026-06-20,C13774,Customer_3775,,Chennai,P1163,6,14326.40,Paid,Completed,Delivered,Delhivery,568.17,2026-07-23,2026-07-27,4,NULL,NULL,NULL,767,76,21.09,Supplier_B
O100039,2026-07-01,C13705,Customer_3706,Basic,Kolkata,P1177,2,22481.38,Paid,Processing,Delivered,BlueDart,77.54,2026-02-16,2026-02-16,0,Product,High,Negative,938,126,52.32,
O100040,2026-06-11,C11350,Customer_1351,Standard,Pune,P1057,4,13609.76,Paid,Completed,Delivered,BlueDart,423.84,2026-08-18,2026-08-19,1,Delivery,Medium,Negative,747,222,41.83,Supplier_B
O100041,2026-08-19,C11744,Customer_1745,Standard,Chennai,P1198,4,1876.06,Failed,Completed,Delayed,EcomExpress,983.20,2026-03-03,2026-03-08,5,NULL,NULL,NULL,919,133,72.13,Supplier_B
O100042,2026-06-07,C13009,Customer_3010,Standard,Delhi,P1086,3,15108.91,Paid,Completed,Delivered,BlueDart,871.01,2026-07-26,2026-07-28,2,NULL,NULL,NULL,768,172,34.71,Supplier_C
O100043,2026-08-06,C13342,Customer_3343,Standard,Mumbai,P1378,2,12278.41,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,514,248,71.66,Supplier_D
O100044,2026-07-21,C10440,Customer_441,Standard,Delhi,P1178,6,22701.14,Refunded,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,245,106.62,Supplier_C
O100045,2026-08-02,C11964,Customer_1965,Standard,Mumbai,P1077,5,9271.52,Paid,Completed,Delivered,Delhivery,374.55,2026-01-13,2026-01-14,1,NULL,NULL,NULL,871,117,50.33,Supplier_C
O100046,2026-01-03,C13660,Customer_3661,Basic,Bangalore,P1046,7,18873.96,Paid,Completed,Delivered,BlueDart,833.91,2026-03-16,2026-03-17,1,NULL,NULL,NULL,471,63,88.45,Supplier_C
O100047,2026-07-26,C12660,Customer_2661,Standard,Bangalore,P1436,1,1249.47,Failed,Processing,Delivered,EcomExpress,400.67,2026-07-24,2026-07-22,-2,NULL,NULL,NULL,48,213,111.73,Supplier_B
O100048,2026-01-29,C12173,Customer_2174,Standard,Bangalore,P1133,3,18120.88,Paid,Returned,Delivered,BlueDart,117.26,2026-03-01,2026-03-03,2,NULL,NULL,NULL,560,197,48.68,Supplier_A
O100049,2026-07-29,C12874,Customer_2875,Basic,Kolkata,P1489,5,1325.71,Paid,Cancelled,Delivered,Delhivery,616.62,2026-07-26,2026-07-24,-2,NULL,NULL,NULL,574,256,106.86,Supplier_C
O100050,2026-07-01,C12647,Customer_2648,Premium,Bangalore,P1152,3,8814.47,Pending,Cancelled,Delayed,Delhivery,666.80,2026-09-01,2026-09-06,5,Payment,Medium,Positive,935,265,35.47,Supplier_C
O100051,2026-03-13,C13772,Customer_3773,Premium,Hyderabad,P1386,7,23717.72,Paid,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,524,144,134.79,Supplier_B
O100052,2026-08-22,C13653,Customer_3654,PREMIUM,Mumbai,P1268,1,17669.16,Paid,Completed,Delivered,EcomExpress,785.02,2026-08-19,2026-08-24,5,NULL,NULL,NULL,145,50,50.11,Supplier_C
O100053,2026-05-21,C11592,Customer_1593,standard,Pune,P1114,6,23148.07,Pending,Cancelled,Delivered,BlueDart,58.13,2026-01-31,2026-01-31,0,NULL,NULL,NULL,87,122,4.31,Supplier_A
O100054,2026-01-10,C10128,Customer_129,Basic,Delhi,P1052,4,12547.57,Failed,Completed,Delivered,DHL,550.45,2026-05-04,2026-05-05,1,NULL,NULL,NULL,0,56,95.07,Supplier_B
O100055,2026-04-14,C11331,Customer_1332,Standard,Kolkata,P1241,3,15273.55,Paid,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,696,172,17.88,Supplier_A
O100056,2026-04-17,C10812,Customer_813,Basic,Chennai,P1322,6,13088.38,Paid,Completed,Delivered,EcomExpress,1314.61,2026-07-02,2026-07-08,6,Payment,Medium,Positive,564,167,69.17,Supplier_A
O100057,2026-05-12,C10526,Customer_527,Standard,Delhi,P1286,2,12127.96,Paid,Processing,Delivered,fedex,303.19,2026-08-25,2026-08-25,0,Account,Low,Negative,411,57,111.44,Supplier_A
O100058,2026-05-31,C13554,Customer_3555,Premium,Pune,P1382,4,14582.30,Paid,Returned,NULL,NULL,NULL,NULL,NULL,NULL,Refund,Critical,Neutral,710,187,125.80,Supplier_D
O100059,2026-07-11,C12841,Customer_2842,Standard,Hyderabad,P1066,4,1260.81,Paid,Cancelled,Delivered,Delhivery,742.15,2026-07-20,2026-07-24,4,NULL,NULL,NULL,35,292,8.00,Supplier_D
O100060,2026-01-13,C10130,Customer_131,Basic,Delhi,P1336,5,4886.39,Paid,Processing,NULL,NULL,NULL,NULL,NULL,NULL,Refund,Low,Negative,759,106,130.37,Supplier_B
O100061,2026-06-14,C13681,Customer_3682,Standard,Kolkata,P1182,2,5601.15,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,404,143,141.91,Supplier_A
O100062,2026-08-07,C13614,Customer_3615,Standard,Kolkata,P1230,6,9756.37,Paid,Cancelled,Delivered,BlueDart,642.28,2026-03-14,2026-03-15,1,Product,Low,Neutral,55,139,30.52,Supplier_C
O100063,2026-07-15,C13800,Customer_3801,Basic,Bangalore,P1449,3,11033.51,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Delivery,Medium,Negative,438,143,121.53,Supplier_C
O100064,2026-06-16,C13322,Customer_3323,Standard,Delhi,P1388,7,18571.04,Paid,Completed,In Transit,Delhivery,728.84,2026-07-30,2026-08-02,3,NULL,NULL,NULL,788,99,46.78,Supplier_D
O100065,2026-04-13,C10315,Customer_316,Standard,Kolkata,P1392,3,4388.84,Paid,Completed,Delivered,Delhivery,1097.46,2026-05-08,2026-05-14,6,Product,Medium,Neutral,676,200,137.14,Supplier_A
O100066,2026-04-21,C12493,Customer_2494,Basic,Delhi,P1284,2,14376.34,Paid,Completed,Delivered,DHL,121.36,2026-05-31,2026-05-31,0,NULL,NULL,NULL,443,257,32.34,Supplier_D
O100067,2026-09-15,C10332,Customer_333,Basic,Chennai,P1162,4,7025.54,Paid,Processing,In Transit,,1186.57,2026-07-05,2026-07-04,-1,NULL,NULL,NULL,0,128,9.73,Supplier_A
O100068,2026-08-14,C12855,Customer_2856,Basic,Chennai,P1103,3,13036.65,Failed,Completed,Delayed,BlueDart,1466.08,2026-09-07,2026-09-13,6,Payment,Low,Neutral,232,215,131.78,Supplier_C
O100069,2026-05-21,C10788,Customer_789,Standard,Delhi,P1483,3,15777.40,Paid,Completed,Delivered,FedEx,157.92,2026-07-05,2026-07-11,6,Delivery,Low,Negative,376,78,127.90,Supplier_A
O100070,2026-02-24,C13746,Customer_3747,Basic,Kolkata,P1162,3,14686.53,Failed,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,128,9.73,Supplier_A
O100071,2026-02-08,C13739,Customer_3740,Basic,,P1305,1,5619.91,Paid,Completed,Delayed,EcomExpress,767.45,2026-01-14,2026-01-20,6,Account,Low,Neutral,521,120,61.88,Supplier_C
O100072,2026-05-05,C12380,Customer_2381,Standard,,P1285,2,17823.49,Paid,Completed,Delivered,FedEx,1490.04,2026-04-12,2026-04-10,-2,NULL,NULL,NULL,430,89,51.19,Supplier_A
O100073,2026-03-24,C13013,Customer_3014,Basic,Pune,P1270,1,16448.56,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,52,42.97,Supplier_D
O100074,2026-06-16,C13435,Customer_3436,Standard,Kolkata,P1028,1,23320.48,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Delivery,Low,Negative,277,282,100.72,Supplier_C
O100075,2026-09-03,C11557,Customer_1558,Basic,Pune,P1408,5,15963.55,Pending,Cancelled,Delayed,DHL,916.64,2026-02-11,2026-02-10,-1,NULL,NULL,NULL,652,160,80.49,Supplier_D
O100076,2026-08-29,C12318,Customer_2319,Standard,Bangalore,P1074,3,18092.01,Paid,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,853,55,117.45,Supplier_D
O100077,2026-01-24,C10704,Customer_705,Premium,Pune,P1484,1,20332.38,Paid,Completed,Delivered,BlueDart,197.00,2026-02-05,2026-02-10,5,Delivery,Critical,Negative,269,80,79.25,Supplier_B
O100079,2026-09-07,C13720,Customer_3721,Basic,Bangalore,P1111,5,17499.46,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Refund,Medium,Neutral,493,118,3.93,Supplier_D
O100080,2026-05-08,C11935,Customer_1936,Standard,Hyderabad,P1247,5,8168.93,Paid,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,787,121,67.74,Supplier_A
O100081,2026-05-24,C12215,Customer_2216,Basic,,P1306,6,20631.77,Paid,Cancelled,Delayed,BlueDart,769.26,2026-01-20,2026-01-23,3,NULL,NULL,NULL,733,130,99.37,Supplier_C
O100082,2026-07-12,C11748,Customer_1749,Standard,Hyderabad,P1323,7,12160.46,Failed,Completed,Delayed,FedEx,922.49,2026-04-25,2026-04-29,4,NULL,NULL,NULL,896,269,39.67,Supplier_C
O100083,2026-01-31,C10006,Customer_7,Standard,HYDERABAD,P1379,4,14641.21,Paid,Completed,In Transit,EcomExpress,1488.59,2026-03-18,2026-03-24,6,Payment,Low,Neutral,234,120,13.51,Supplier_B
O100084,2026-02-21,C10920,Customer_921,Standard,Kolkata,P1245,4,6730.34,Paid,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,408,224,117.42,Supplier_A
O100085,2026-01-29,C10406,Customer_407,Standard,Kolkata,P1490,5,16368.96,Pending,Completed,Delivered,BlueDart,296.06,2026-03-23,2026-03-29,6,Payment,Medium,Neutral,604,123,143.26,Supplier_A
O100086,2026-06-25,C11292,Customer_1293,Standard,Pune,P1057,2,1180.54,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,747,222,41.83,Supplier_B
O100087,2026-05-22,C10945,Customer_946,Standard,Kolkata,P1139,1,18789.78,Pending,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,Delivery,Critical,Neutral,270,101,92.53,Supplier_C
O100088,2026-07-09,C13049,Customer_3050,Standard,Bangalore,P1479,4,4333.41,Refunded,Processing,Delivered,FedEx,1452.41,2026-07-02,2026-06-30,-2,NULL,NULL,NULL,206,271,64.21,Supplier_D
O100089,2026-08-13,C12020,Customer_2021,Standard,Hyderabad,P1324,1,5921.09,Paid,Completed,Delivered,FedEx,152.48,2026-01-25,2026-01-23,-2,NULL,NULL,NULL,789,138,77.51,Supplier_C
O100090,2026-05-26,C13270,Customer_3271,Standard,Pune,P1361,7,322.48,Paid,Returned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,453,156,116.31,Supplier_D
O100091,2026-02-26,C12544,Customer_2545,Standard,Kolkata,P1489,2,8035.41,Paid,Completed,Delivered,FedEx,1372.48,2026-02-04,2026-02-04,0,Refund,Medium,Neutral,574,256,106.86,Supplier_C
O100092,2026-08-30,C12627,Customer_2628,Standard,Chennai,P1242,1,9889.76,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Refund,Medium,Neutral,380,249,149.40,Supplier_D
O100093,2026-03-10,C13507,Customer_3508,Premium,,P1484,5,6079.79,Pending,Completed,Delivered,Delhivery,461.23,2026-08-08,2026-08-13,5,NULL,NULL,NULL,269,80,79.25,Supplier_B
O100094,2026-02-07,C13391,Customer_3392,Basic,Hyderabad,P1420,4,5986.20,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,947,209,88.75,Supplier_A
O100095,2026-06-16,C10253,Customer_254,Standard,Kolkata,P1408,2,22356.63,Paid,Processing,Delivered,Delhivery,284.22,2026-02-02,2026-02-08,6,NULL,NULL,NULL,652,160,80.49,Supplier_D
O100096,2026-07-31,C12315,Customer_2316,Basic,Chennai,P1323,5,8363.38,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Account,Low,Positive,896,269,39.67,Supplier_C
O100097,2026-03-19,C11653,Customer_1654,Standard,Chennai,P1407,7,18140.37,Paid,Cancelled,Delayed,EcomExpress,1015.62,2026-07-11,2026-07-15,4,Refund,Low,Neutral,143,258,18.78,Supplier_B
O100098,2026-03-19,C12400,Customer_2401,Premium,,P1291,2,6163.32,Paid,Cancelled,Delivered,EcomExpress,877.08,2026-07-07,2026-07-07,0,Delivery,High,Positive,897,267,149.73,Supplier_D
O100099,2026-06-03,C13453,Customer_3454,Standard,Kolkata,P1249,7,20283.32,Paid,Completed,In Transit,BlueDart,1303.73,2026-09-14,2026-09-16,2,Delivery,Low,Negative,39,65,65.85,Supplier_D
O100100,2026-04-13,C10048,Customer_49,Basic,KOLKATA,P1129,6,17040.23,Paid,Completed,In Transit,DHL,452.11,2026-06-15,2026-06-14,-1,NULL,NULL,NULL,214,246,70.82,Supplier_A
O100101,2026-02-15,C10043,Customer_44,Basic,Chennai,P1290,4,18978.24,Paid,Processing,NULL,NULL,NULL,NULL,NULL,NULL,Account,Medium,Negative,667,110,9.03,Supplier_A
O100102,2026-08-13,C10250,Customer_251,Standard,Pune,P1124,1,11156.56,Paid,Completed,Delivered,EcomExpress,670.50,2026-06-26,2026-06-25,-1,refund,Low,Negative,934,173,4.27,Supplier_D
O100103,2026-05-06,C13502,Customer_3503,Basic,Kolkata,P1355,2,22025.24,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,145,81.09,Supplier_C
O100104,2026-06-17,C11415,Customer_1416,Premium,Pune,P1263,4,9538.11,Paid,Completed,Delayed,FedEx,593.18,2026-07-22,2026-07-26,4,NULL,NULL,NULL,231,297,61.62,Supplier_B
O100105,2026-05-14,C11486,Customer_1487,Premium,Chennai,P1200,6,15142.11,Pending,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,259,155,4.06,Supplier_D
O100106,2026-05-30,C11382,Customer_1383,Standard,Mumbai,P1283,6,16109.78,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Refund,Medium,Positive,939,68,85.48,Supplier_C
O100107,2026-01-12,C10924,Customer_925,Basic,Chennai,P1187,5,23820.61,Paid,Processing,Delayed,BlueDart,1244.87,2026-06-08,2026-06-13,5,Payment,Medium,Neutral,561,145,120.46,Supplier_B
O100108,2026-03-13,C10155,Customer_156,Standard,DELHI,P1437,4,3622.71,Paid,Completed,Delivered,EcomExpress,668.36,2026-04-08,2026-04-08,0,Account,Low,Positive,259,197,24.41,Supplier_C
O100109,2026-02-04,C13628,Customer_3629,Basic,Delhi,P1381,1,3649.45,Pending,Completed,Delivered,Delhivery,1450.31,2026-03-02,2026-03-04,2,NULL,NULL,NULL,21,282,76.65,Supplier_B
O100110,2026-06-10,C10932,Customer_933,Premium,Mumbai,P1359,7,11712.67,Refunded,Processing,NULL,NULL,NULL,NULL,NULL,NULL,Payment,Medium,Positive,594,185,106.04,Supplier_D
O100111,2026-07-04,C13578,Customer_3579,Standard,Hyderabad,P1043,4,22971.53,Paid,Returned,Delayed,DHL,1043.77,2026-04-05,2026-04-07,2,NULL,NULL,NULL,313,264,37.70,Supplier_C
O100112,2026-08-17,C13825,Customer_3826,Standard,Mumbai,P1009,7,835.62,Pending,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,477,159,114.79,Supplier_B
O100113,2026-04-20,C12308,Customer_2309,Premium,Pune,P1004,5,7124.01,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Product,Low,Neutral,7,262,52.37,Supplier_B
O100114,2026-04-05,C11490,Customer_1491,Basic,Kolkata,P1356,5,7304.58,Refunded,Completed,Delivered,FedEx,911.18,2026-07-30,2026-07-31,1,Refund,Medium,Neutral,267,152,12.49,Supplier_B
O100115,2026-06-14,C13065,Customer_3066,Standard,Pune,P1375,2,7832.33,Paid,Completed,Delivered,EcomExpress,724.74,2026-03-03,2026-03-04,1,Payment,Medium,Neutral,575,184,89.96,Supplier_D
O100116,2026-08-28,C10101,Customer_102,Standard,Pune,P1174,5,910.21,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Product,Medium,Negative,536,264,72.53,Supplier_C
O100117,2026-04-27,C13718,Customer_3719,Standard,Delhi,P1158,3,20692.48,Paid,Completed,Delayed,DHL,695.94,2026-06-25,2026-06-30,5,NULL,NULL,NULL,181,228,100.67,Supplier_A
O100118,2026-08-24,C11632,Customer_1633,Standard,Chennai,P1243,5,520.06,Paid,Completed,Delivered,,436.06,2026-02-28,2026-03-05,5,NULL,NULL,NULL,897,218,35.74,Supplier_A
O100119,2026-07-05,C11235,Customer_1236,Standard,Bangalore,P1028,7,12099.29,Paid,Completed,Delivered,DHL,970.65,2026-07-06,2026-07-05,-1,NULL,NULL,NULL,277,282,100.72,Supplier_C
O100121,2026-04-12,C13823,Customer_3824,Premium,Delhi,P1153,5,20026.51,Paid,Completed,Delivered,BlueDart,540.19,2026-02-01,2026-02-03,2,Product,High,Neutral,571,58,108.16,Supplier_A
O100122,2026-05-13,C13246,Customer_3247,Standard,,P1094,2,18740.67,Pending,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Product,Medium,Neutral,893,108,121.56,Supplier_A
O100123,2026-05-11,C12898,Customer_2899,Standard,Bangalore,P1001,7,18121.81,Pending,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Refund,High,Positive,560,52,74.36,Supplier_B
O100124,2026-01-12,C13726,Customer_3727,Standard,Hyderabad,P1334,5,18485.74,Paid,Completed,Delayed,Delhivery,679.62,2026-09-15,2026-09-18,3,NULL,NULL,NULL,825,260,126.00,Supplier_C
O100125,2026-03-13,C13842,Customer_3843,Basic,Pune,P1460,4,23523.92,Paid,Completed,Delivered,EcomExpress,1434.07,2026-01-24,2026-01-28,4,NULL,NULL,NULL,732,100,24.75,Supplier_A
O100126,2026-03-03,C11074,Customer_1075,Basic,Hyderabad,P1091,6,10595.23,Paid,Processing,Delayed,DHL,1004.39,2026-09-03,2026-09-08,5,NULL,NULL,NULL,94,136,45.91,Supplier_C
O100127,2026-07-30,C13148,Customer_3149,Standard,,P1055,6,21580.90,Paid,Processing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,196,50,46.87,Supplier_C
O100128,2026-08-07,C13070,Customer_3071,Premium,Pune,P1235,4,4850.54,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,775,156,137.15,Supplier_D
O100129,2026-07-22,C12231,Customer_2232,Standard,Bangalore,P1397,4,11446.23,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,Product,Low,Positive,547,176,126.13,
O100130,2026-09-07,C10602,Customer_603,Standard,Mumbai,P1331,3,520.05,Paid,Cancelled,Delivered,EcomExpress,928.29,2026-03-12,2026-03-13,1,NULL,NULL,NULL,501,286,123.14,Supplier_D
O100131,2026-01-25,C13764,Customer_3765,Premium,Bangalore,P1014,2,7318.27,Paid,Processing,Delivered,EcomExpress,222.95,2026-04-30,2026-05-01,1,NULL,NULL,NULL,675,116,24.71,Supplier_A
O100132,2026-01-31,C11262,Customer_1263,Standard,Kolkata,P1084,4,11616.54,Paid,Completed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,220,75.13,Supplier_B
